,E57_KO_10uM_cyto3,E57_KO_10uM_cyto3,E57_KO_500uM_cyto3,E57_KO_500uM_cyto3,E57_KO_Control_cyto3,E57_KO_Control_cyto3,E57_KO_DMSO_cyto3,E57_KO_DMSO_cyto3,E57_WT_10uM_cyto3,E57_WT_10uM_cyto3,E57_WT_500uM_cyto3,E57_WT_500uM_cyto3,E57_WT_Control_cyto3,E57_WT_Control_cyto3,E57_WT_DMSO_cyto3,E57_WT_DMSO_cyto3,E58_KO_10uM_cyto3,E58_KO_10uM_cyto3,E58_KO_500uM_cyto3,E58_KO_500uM_cyto3,E58_KO_Control_cyto3,E58_KO_Control_cyto3,E58_KO_DMSO_cyto3,E58_KO_DMSO_cyto3,E58_WT_10uM_cyto3,E58_WT_10uM_cyto3,E58_WT_500uM_cyto3,E58_WT_500uM_cyto3,E58_WT_Control_cyto3,E58_WT_Control_cyto3,E58_WT_DMSO_cyto3,E58_WT_DMSO_cyto3,E59_KO_10uM_cyto3,E59_KO_10uM_cyto3,E59_KO_500uM_cyto3,E59_KO_500uM_cyto3,E59_KO_Control_cyto3,E59_KO_Control_cyto3,E59_KO_DMSO_cyto3,E59_KO_DMSO_cyto3,E59_WT_10uM_cyto3,E59_WT_10uM_cyto3,E59_WT_500uM_cyto3,E59_WT_500uM_cyto3,E59_WT_Control_cyto3,E59_WT_Control_cyto3,E59_WT_DMSO_cyto3,E59_WT_DMSO_cyto3
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
191,1705,95.5,1385,95.5,1723,95.5,677,95.5,2723,95.5,1798,95.5,2719,95.5,2628,95.5,3573,95.5,1691,95.5,3330,95.5,2758,95.5,2175,95.5,3622,95.5,3775,95.5,2378,95.5,5147,95.5,4064,95.5,5098,95.5,6002,95.5,4078,95.5,2860,95.5,4721,95.5,5551,95.5
192,1723,96.0,1393,96.0,1740,96.0,687,96.0,2749,96.0,1813,96.0,2744,96.0,2644,96.0,3601,96.0,1710,96.0,3352,96.0,2790,96.0,2203,96.0,3641,96.0,3797,96.0,2398,96.0,5165,96.0,4078,96.0,5140,96.0,6062,96.0,4102,96.0,2875,96.0,4779,96.0,5626,96.0
193,1720,96.5,1397,96.5,1741,96.5,688,96.5,2776,96.5,1803,96.5,2776,96.5,2671,96.5,3619,96.5,1699,96.5,3387,96.5,2799,96.5,2220,96.5,3654,96.5,3832,96.5,2443,96.5,5200,96.5,4090,96.5,5195,96.5,6099,96.5,4119,96.5,2882,96.5,4839,96.5,5692,96.5
194,1718,97.0,1402,97.0,1743,97.0,689,97.0,2803,97.0,1793,97.0,2808,97.0,2699,97.0,3638,97.0,1689,97.0,3423,97.0,2809,97.0,2237,97.0,3667,97.0,3868,97.0,2488,97.0,5236,97.0,4102,97.0,5250,97.0,6136,97.0,4137,97.0,2890,97.0,4900,97.0,5758,97.0
195,1716,97.5,1407,97.5,1745,97.5,690,97.5,2830,97.5,1783,97.5,2840,97.5,2727,97.5,3657,97.5,1679,97.5,3459,97.5,2818,97.5,2255,97.5,3681,97.5,3904,97.5,2533,97.5,5272,97.5,4114,97.5,5305,97.5,6173,97.5,4155,97.5,2898,97.5,4961,97.5,5824,97.5
196,1713,98.0,1412,98.0,1747,98.0,691,98.0,2857,98.0,1773,98.0,2872,98.0,2755,98.0,3676,98.0,1668,98.0,3494,98.0,2828,98.0,2272,98.0,3694,98.0,3940,98.0,2578,98.0,5308,98.0,4126,98.0,5360,98.0,6210,98.0,4172,98.0,2905,98.0,5022,98.0,5890,98.0
197,1711,98.5,1417,98.5,1749,98.5,692,98.5,2884,98.5,1763,98.5,2904,98.5,2783,98.5,3695,98.5,1658,98.5,3530,98.5,2837,98.5,2289,98.5,3707,98.5,3976,98.5,2623,98.5,5344,98.5,4138,98.5,5415,98.5,6247,98.5,4190,98.5,2913,98.5,5083,98.5,5956,98.5
198,1709,99.0,1422,99.0,1751,99.0,694,99.0,2912,99.0,1754,99.0,2936,99.0,2811,99.0,3714,99.0,1648,99.0,3566,99.0,2847,99.0,2307,99.0,3721,99.0,4012,99.0,2668,99.0,5380,99.0,4151,99.0,5470,99.0,6285,99.0,4208,99.0,2921,99.0,5144,99.0,6023,99.0
199,1709,99.5,1411,99.5,1764,99.5,691,99.5,2945,99.5,1757,99.5,2984,99.5,2842,99.5,3731,99.5,1670,99.5,3566,99.5,2861,99.5,2319,99.5,3737,99.5,4064,99.5,2705,99.5,5400,99.5,4176,99.5,5503,99.5,6327,99.5,4239,99.5,2926,99.5,5206,99.5,6071,99.5
200,1710,100.0,1400,100.0,1778,100.0,688,100.0,2978,100.0,1761,100.0,3032,100.0,2874,100.0,3748,100.0,1692,100.0,3566,100.0,2875,100.0,2331,100.0,3753,100.0,4117,100.0,2743,100.0,5420,100.0,4202,100.0,5537,100.0,6370,100.0,4271,100.0,2931,100.0,5269,100.0,6120,100.0
201,1711,100.5,1389,100.5,1791,100.5,685,100.5,3012,100.5,1764,100.5,3080,100.5,2905,100.5,3765,100.5,1714,100.5,3566,100.5,2889,100.5,2343,100.5,3769,100.5,4169,100.5,2780,100.5,5441,100.5,4227,100.5,5571,100.5,6412,100.5,4303,100.5,2936,100.5,5331,100.5,6168,100.5
202,1711,101.0,1378,101.0,1805,101.0,682,101.0,3045,101.0,1768,101.0,3128,101.0,2937,101.0,3782,101.0,1736,101.0,3566,101.0,2903,101.0,2355,101.0,3785,101.0,4222,101.0,2818,101.0,5461,101.0,4253,101.0,5604,101.0,6455,101.0,4334,101.0,2941,101.0,5394,101.0,6217,101.0
203,1712,101.5,1367,101.5,1818,101.5,679,101.5,3078,101.5,1771,101.5,3176,101.5,2968,101.5,3799,101.5,1758,101.5,3566,101.5,2917,101.5,2367,101.5,3801,101.5,4274,101.5,2855,101.5,5481,101.5,4278,101.5,5638,101.5,6497,101.5,4366,101.5,2946,101.5,5456,101.5,6265,101.5
204,1713,102.0,1357,102.0,1832,102.0,677,102.0,3112,102.0,1775,102.0,3225,102.0,3000,102.0,3817,102.0,1781,102.0,3567,102.0,2931,102.0,2380,102.0,3817,102.0,4327,102.0,2893,102.0,5502,102.0,4304,102.0,5672,102.0,6540,102.0,4398,102.0,2952,102.0,5519,102.0,6314,102.0
205,1742,102.5,1363,102.5,1848,102.5,682,102.5,3120,102.5,1772,102.5,3260,102.5,3041,102.5,3837,102.5,1790,102.5,3605,102.5,2963,102.5,2399,102.5,3836,102.5,4393,102.5,2910,102.5,5533,102.5,4312,102.5,5739,102.5,6594,102.5,4425,102.5,2969,102.5,5565,102.5,6374,102.5
206,1771,103.0,1370,103.0,1865,103.0,687,103.0,3129,103.0,1770,103.0,3296,103.0,3083,103.0,3858,103.0,1799,103.0,3644,103.0,2996,103.0,2419,103.0,3856,103.0,4459,103.0,2927,103.0,5565,103.0,4320,103.0,5806,103.0,6648,103.0,4452,103.0,2987,103.0,5611,103.0,6435,103.0
207,1801,103.5,1377,103.5,1882,103.5,692,103.5,3138,103.5,1767,103.5,3331,103.5,3125,103.5,3879,103.5,1808,103.5,3683,103.5,3028,103.5,2439,103.5,3875,103.5,4525,103.5,2945,103.5,5596,103.5,4328,103.5,5874,103.5,6702,103.5,4480,103.5,3004,103.5,5658,103.5,6495,103.5
208,1830,104.0,1384,104.0,1898,104.0,697,104.0,3147,104.0,1765,104.0,3367,104.0,3166,104.0,3900,104.0,1817,104.0,3721,104.0,3061,104.0,2458,104.0,3895,104.0,4591,104.0,2962,104.0,5628,104.0,4336,104.0,5941,104.0,6756,104.0,4507,104.0,3022,104.0,5704,104.0,6556,104.0
209,1859,104.5,1391,104.5,1915,104.5,702,104.5,3156,104.5,1762,104.5,3402,104.5,3208,104.5,3921,104.5,1826,104.5,3760,104.5,3093,104.5,2478,104.5,3914,104.5,4657,104.5,2979,104.5,5659,104.5,4344,104.5,6008,104.5,6810,104.5,4534,104.5,3039,104.5,5750,104.5,6616,104.5
210,1889,105.0,1398,105.0,1932,105.0,707,105.0,3165,105.0,1760,105.0,3438,105.0,3250,105.0,3942,105.0,1835,105.0,3799,105.0,3126,105.0,2498,105.0,3934,105.0,4724,105.0,2997,105.0,5691,105.0,4353,105.0,6076,105.0,6865,105.0,4562,105.0,3057,105.0,5797,105.0,6677,105.0
211,1880,105.5,1422,105.5,1948,105.5,711,105.5,3209,105.5,1799,105.5,3468,105.5,3271,105.5,3946,105.5,1849,105.5,3825,105.5,3123,105.5,2529,105.5,3941,105.5,4796,105.5,3018,105.5,5731,105.5,4351,105.5,6103,105.5,6890,105.5,4594,105.5,3066,105.5,5861,105.5,6745,105.5
212,1871,106.0,1446,106.0,1964,106.0,716,106.0,3253,106.0,1839,106.0,3498,106.0,3292,106.0,3951,106.0,1863,106.0,3851,106.0,3121,106.0,2560,106.0,3948,106.0,4868,106.0,3039,106.0,5771,106.0,4350,106.0,6130,106.0,6915,106.0,4626,106.0,3075,106.0,5925,106.0,6813,106.0
213,1863,106.5,1471,106.5,1981,106.5,721,106.5,3297,106.5,1878,106.5,3528,106.5,3314,106.5,3956,106.5,1877,106.5,3877,106.5,3119,106.5,2592,106.5,3955,106.5,4940,106.5,3060,106.5,5811,106.5,4349,106.5,6158,106.5,6940,106.5,4658,106.5,3084,106.5,5989,106.5,6882,106.5
214,1854,107.0,1495,107.0,1997,107.0,725,107.0,3341,107.0,1918,107.0,3558,107.0,3335,107.0,3960,107.0,1891,107.0,3903,107.0,3116,107.0,2623,107.0,3962,107.0,5012,107.0,3081,107.0,5851,107.0,4347,107.0,6185,107.0,6965,107.0,4690,107.0,3093,107.0,6053,107.0,6950,107.0
215,1845,107.5,1519,107.5,2013,107.5,730,107.5,3385,107.5,1957,107.5,3588,107.5,3356,107.5,3965,107.5,1905,107.5,3929,107.5,3114,107.5,2654,107.5,3969,107.5,5084,107.5,3102,107.5,5891,107.5,4346,107.5,6212,107.5,6990,107.5,4722,107.5,3102,107.5,6117,107.5,7018,107.5
216,1837,108.0,1544,108.0,2030,108.0,735,108.0,3429,108.0,1997,108.0,3619,108.0,3378,108.0,3970,108.0,1919,108.0,3956,108.0,3112,108.0,2686,108.0,3977,108.0,5156,108.0,3124,108.0,5932,108.0,4345,108.0,6240,108.0,7016,108.0,4754,108.0,3112,108.0,6182,108.0,7087,108.0
217,1846,108.5,1560,108.5,2060,108.5,736,108.5,3437,108.5,1979,108.5,3659,108.5,3413,108.5,3996,108.5,1898,108.5,3984,108.5,3138,108.5,2696,108.5,3986,108.5,5216,108.5,3165,108.5,5963,108.5,4358,108.5,6290,108.5,7092,108.5,4775,108.5,3112,108.5,6270,108.5,7171,108.5
218,1856,109.0,1577,109.0,2091,109.0,738,109.0,3445,109.0,1962,109.0,3699,109.0,3449,109.0,4023,109.0,1878,109.0,4013,109.0,3165,109.0,2707,109.0,3995,109.0,5277,109.0,3207,109.0,5994,109.0,4372,109.0,6341,109.0,7168,109.0,4797,109.0,3113,109.0,6359,109.0,7256,109.0
219,1866,109.5,1593,109.5,2121,109.5,739,109.5,3453,109.5,1945,109.5,3739,109.5,3485,109.5,4050,109.5,1858,109.5,4042,109.5,3192,109.5,2718,109.5,4004,109.5,5338,109.5,3248,109.5,6026,109.5,4385,109.5,6392,109.5,7245,109.5,4819,109.5,3114,109.5,6448,109.5,7341,109.5
220,1875,110.0,1610,110.0,2152,110.0,741,110.0,3461,110.0,1928,110.0,3779,110.0,3521,110.0,4076,110.0,1837,110.0,4070,110.0,3218,110.0,2728,110.0,4013,110.0,5399,110.0,3290,110.0,6057,110.0,4399,110.0,6443,110.0,7321,110.0,4840,110.0,3114,110.0,6537,110.0,7426,110.0
221,1885,110.5,1626,110.5,2182,110.5,742,110.5,3469,110.5,1911,110.5,3819,110.5,3557,110.5,4103,110.5,1817,110.5,4099,110.5,3245,110.5,2739,110.5,4022,110.5,5460,110.5,3331,110.5,6088,110.5,4412,110.5,6494,110.5,7397,110.5,4862,110.5,3115,110.5,6626,110.5,7511,110.5
222,1895,111.0,1643,111.0,2213,111.0,744,111.0,3478,111.0,1894,111.0,3859,111.0,3593,111.0,4130,111.0,1797,111.0,4128,111.0,3272,111.0,2750,111.0,4032,111.0,5521,111.0,3373,111.0,6120,111.0,4426,111.0,6545,111.0,7474,111.0,4884,111.0,3116,111.0,6715,111.0,7596,111.0
223,1912,111.5,1632,111.5,2227,111.5,754,111.5,3526,111.5,1894,111.5,3919,111.5,3623,111.5,4148,111.5,1810,111.5,4171,111.5,3273,111.5,2768,111.5,4049,111.5,5593,111.5,3430,111.5,6170,111.5,4452,111.5,6604,111.5,7527,111.5,4930,111.5,3126,111.5,6783,111.5,7654,111.5
224,1930,112.0,1622,112.0,2242,112.0,764,112.0,3575,112.0,1895,112.0,3979,112.0,3653,112.0,4166,112.0,1823,112.0,4214,112.0,3274,112.0,2786,112.0,4067,112.0,5666,112.0,3488,112.0,6220,112.0,4479,112.0,6664,112.0,7581,112.0,4977,112.0,3136,112.0,6851,112.0,7712,112.0
225,1947,112.5,1612,112.5,2257,112.5,774,112.5,3623,112.5,1896,112.5,4040,112.5,3684,112.5,4185,112.5,1837,112.5,4257,112.5,3276,112.5,2804,112.5,4084,112.5,5739,112.5,3545,112.5,6270,112.5,4506,112.5,6724,112.5,7635,112.5,5023,112.5,3146,112.5,6919,112.5,7771,112.5
226,1965,113.0,1602,113.0,2271,113.0,784,113.0,3672,113.0,1896,113.0,4100,113.0,3714,113.0,4203,113.0,1850,113.0,4300,113.0,3277,113.0,2822,113.0,4102,113.0,5812,113.0,3603,113.0,6320,113.0,4533,113.0,6783,113.0,7688,113.0,5070,113.0,3156,113.0,6987,113.0,7829,113.0
227,1982,113.5,1592,113.5,2286,113.5,794,113.5,3720,113.5,1897,113.5,4160,113.5,3744,113.5,4221,113.5,1863,113.5,4343,113.5,3278,113.5,2840,113.5,4119,113.5,5885,113.5,3660,113.5,6370,113.5,4560,113.5,6843,113.5,7742,113.5,5116,113.5,3166,113.5,7055,113.5,7887,113.5
228,2000,114.0,1582,114.0,2301,114.0,804,114.0,3769,114.0,1898,114.0,4221,114.0,3775,114.0,4240,114.0,1877,114.0,4387,114.0,3280,114.0,2859,114.0,4137,114.0,5958,114.0,3718,114.0,6420,114.0,4587,114.0,6903,114.0,7796,114.0,5163,114.0,3176,114.0,7124,114.0,7946,114.0
229,2009,114.5,1593,114.5,2333,114.5,814,114.5,3778,114.5,1913,114.5,4264,114.5,3833,114.5,4260,114.5,1868,114.5,4428,114.5,3300,114.5,2881,114.5,4153,114.5,6052,114.5,3721,114.5,6444,114.5,4608,114.5,6955,114.5,7860,114.5,5201,114.5,3181,114.5,7202,114.5,8036,114.5
230,2018,115.0,1604,115.0,2365,115.0,825,115.0,3787,115.0,1928,115.0,4307,115.0,3891,115.0,4280,115.0,1860,115.0,4469,115.0,3320,115.0,2904,115.0,4170,115.0,6146,115.0,3725,115.0,6468,115.0,4630,115.0,7008,115.0,7925,115.0,5239,115.0,3187,115.0,7280,115.0,8127,115.0
231,2027,115.5,1615,115.5,2397,115.5,836,115.5,3796,115.5,1943,115.5,4351,115.5,3950,115.5,4300,115.5,1851,115.5,4510,115.5,3340,115.5,2926,115.5,4187,115.5,6241,115.5,3729,115.5,6492,115.5,4652,115.5,7061,115.5,7990,115.5,5277,115.5,3193,115.5,7359,115.5,8218,115.5
232,2036,116.0,1626,116.0,2429,116.0,846,116.0,3805,116.0,1958,116.0,4394,116.0,4008,116.0,4320,116.0,1843,116.0,4551,116.0,3360,116.0,2949,116.0,4204,116.0,6335,116.0,3732,116.0,6516,116.0,4673,116.0,7114,116.0,8054,116.0,5315,116.0,3198,116.0,7437,116.0,8308,116.0
233,2045,116.5,1637,116.5,2461,116.5,857,116.5,3814,116.5,1973,116.5,4437,116.5,4066,116.5,4340,116.5,1834,116.5,4592,116.5,3380,116.5,2971,116.5,4221,116.5,6429,116.5,3736,116.5,6540,116.5,4695,116.5,7167,116.5,8119,116.5,5353,116.5,3204,116.5,7515,116.5,8399,116.5
234,2054,117.0,1648,117.0,2494,117.0,868,117.0,3823,117.0,1988,117.0,4481,117.0,4125,117.0,4361,117.0,1826,117.0,4633,117.0,3401,117.0,2994,117.0,4238,117.0,6524,117.0,3740,117.0,6565,117.0,4717,117.0,7220,117.0,8184,117.0,5391,117.0,3210,117.0,7594,117.0,8490,117.0
235,2056,117.5,1681,117.5,2498,117.5,856,117.5,3847,117.5,1997,117.5,4553,117.5,4159,117.5,4375,117.5,1836,117.5,4644,117.5,3418,117.5,3013,117.5,4233,117.5,6590,117.5,3808,117.5,6597,117.5,4710,117.5,7274,117.5,8210,117.5,5411,117.5,3213,117.5,7669,117.5,8579,117.5
236,2058,118.0,1715,118.0,2502,118.0,844,118.0,3872,118.0,2006,118.0,4626,118.0,4194,118.0,4389,118.0,1847,118.0,4656,118.0,3435,118.0,3033,118.0,4228,118.0,6656,118.0,3876,118.0,6629,118.0,4704,118.0,7329,118.0,8237,118.0,5431,118.0,3217,118.0,7745,118.0,8668,118.0
237,2060,118.5,1748,118.5,2507,118.5,832,118.5,3896,118.5,2016,118.5,4699,118.5,4228,118.5,4403,118.5,1857,118.5,4668,118.5,3452,118.5,3053,118.5,4223,118.5,6722,118.5,3944,118.5,6661,118.5,4697,118.5,7383,118.5,8264,118.5,5452,118.5,3221,118.5,7820,118.5,8757,118.5
238,2062,119.0,1782,119.0,2511,119.0,820,119.0,3921,119.0,2025,119.0,4772,119.0,4263,119.0,4417,119.0,1868,119.0,4680,119.0,3469,119.0,3072,119.0,4218,119.0,6788,119.0,4012,119.0,6693,119.0,4691,119.0,7438,119.0,8290,119.0,5472,119.0,3224,119.0,7896,119.0,8846,119.0
239,2064,119.5,1815,119.5,2515,119.5,808,119.5,3945,119.5,2034,119.5,4845,119.5,4297,119.5,4431,119.5,1878,119.5,4692,119.5,3486,119.5,3092,119.5,4213,119.5,6854,119.5,4080,119.5,6725,119.5,4684,119.5,7492,119.5,8317,119.5,5492,119.5,3228,119.5,7971,119.5,8935,119.5
240,2067,120.0,1849,120.0,2520,120.0,796,120.0,3970,120.0,2044,120.0,4918,120.0,4332,120.0,4446,120.0,1889,120.0,4704,120.0,3503,120.0,3112,120.0,4209,120.0,6920,120.0,4149,120.0,6757,120.0,4678,120.0,7547,120.0,8344,120.0,5513,120.0,3232,120.0,8047,120.0,9024,120.0
241,2082,120.5,1841,120.5,2547,120.5,808,120.5,3994,120.5,2058,120.5,4988,120.5,4384,120.5,4457,120.5,1897,120.5,4755,120.5,3514,120.5,3148,120.5,4227,120.5,6999,120.5,4197,120.5,6777,120.5,4702,120.5,7631,120.5,8397,120.5,5558,120.5,3239,120.5,8157,120.5,9130,120.5
242,2097,121.0,1833,121.0,2574,121.0,820,121.0,4018,121.0,2073,121.0,5059,121.0,4436,121.0,4468,121.0,1906,121.0,4807,121.0,3526,121.0,3185,121.0,4245,121.0,7078,121.0,4245,121.0,6797,121.0,4726,121.0,7716,121.0,8450,121.0,5603,121.0,3247,121.0,8267,121.0,9236,121.0
243,2113,121.5,1825,121.5,2601,121.5,832,121.5,4042,121.5,2088,121.5,5129,121.5,4488,121.5,4480,121.5,1915,121.5,4859,121.5,3537,121.5,3222,121.5,4263,121.5,7157,121.5,4294,121.5,6818,121.5,4751,121.5,7800,121.5,8503,121.5,5649,121.5,3255,121.5,8378,121.5,9342,121.5
244,2128,122.0,1817,122.0,2628,122.0,844,122.0,4066,122.0,2102,122.0,5200,122.0,4540,122.0,4491,122.0,1923,122.0,4911,122.0,3549,122.0,3259,122.0,4281,122.0,7236,122.0,4342,122.0,6838,122.0,4775,122.0,7885,122.0,8556,122.0,5694,122.0,3263,122.0,8488,122.0,9448,122.0
245,2143,122.5,1809,122.5,2655,122.5,856,122.5,4090,122.5,2117,122.5,5270,122.5,4592,122.5,4502,122.5,1932,122.5,4963,122.5,3560,122.5,3296,122.5,4299,122.5,7315,122.5,4390,122.5,6858,122.5,4799,122.5,7969,122.5,8609,122.5,5739,122.5,3271,122.5,8598,122.5,9554,122.5
246,2159,123.0,1802,123.0,2683,123.0,868,123.0,4115,123.0,2132,123.0,5341,123.0,4645,123.0,4514,123.0,1941,123.0,5015,123.0,3572,123.0,3333,123.0,4317,123.0,7394,123.0,4439,123.0,6879,123.0,4824,123.0,8054,123.0,8663,123.0,5785,123.0,3279,123.0,8709,123.0,9661,123.0
247,2154,123.5,1797,123.5,2682,123.5,870,123.5,4134,123.5,2137,123.5,5388,123.5,4686,123.5,4544,123.5,1975,123.5,5044,123.5,3606,123.5,3358,123.5,4316,123.5,7508,123.5,4492,123.5,6920,123.5,4845,123.5,8136,123.5,8725,123.5,5803,123.5,3275,123.5,8809,123.5,9769,123.5
248,2150,124.0,1792,124.0,2681,124.0,873,124.0,4154,124.0,2143,124.0,5436,124.0,4727,124.0,4575,124.0,2009,124.0,5074,124.0,3641,124.0,3383,124.0,4315,124.0,7622,124.0,4545,124.0,6961,124.0,4866,124.0,8218,124.0,8788,124.0,5821,124.0,3272,124.0,8910,124.0,9877,124.0
249,2146,124.5,1787,124.5,2680,124.5,876,124.5,4174,124.5,2149,124.5,5484,124.5,4768,124.5,4605,124.5,2044,124.5,5104,124.5,3675,124.5,3409,124.5,4315,124.5,7736,124.5,4598,124.5,7002,124.5,4888,124.5,8300,124.5,8851,124.5,5839,124.5,3269,124.5,9010,124.5,9986,124.5
250,2141,125.0,1782,125.0,2679,125.0,879,125.0,4193,125.0,2154,125.0,5531,125.0,4809,125.0,4636,125.0,2078,125.0,5133,125.0,3710,125.0,3434,125.0,4314,125.0,7850,125.0,4651,125.0,7043,125.0,4909,125.0,8382,125.0,8913,125.0,5857,125.0,3266,125.0,9111,125.0,10094,125.0
251,2137,125.5,1777,125.5,2678,125.5,882,125.5,4213,125.5,2160,125.5,5579,125.5,4850,125.5,4666,125.5,2112,125.5,5163,125.5,3744,125.5,3459,125.5,4313,125.5,7964,125.5,4704,125.5,7084,125.5,4930,125.5,8464,125.5,8976,125.5,5875,125.5,3263,125.5,9211,125.5,10202,125.5
252,2133,126.0,1773,126.0,2678,126.0,885,126.0,4233,126.0,2166,126.0,5627,126.0,4891,126.0,4697,126.0,2147,126.0,5193,126.0,3779,126.0,3485,126.0,4313,126.0,8078,126.0,4758,126.0,7125,126.0,4952,126.0,8547,126.0,9039,126.0,5894,126.0,3260,126.0,9312,126.0,10311,126.0
253,2145,126.5,1781,126.5,2709,126.5,886,126.5,4298,126.5,2156,126.5,5705,126.5,4922,126.5,4718,126.5,2164,126.5,5257,126.5,3801,126.5,3511,126.5,4315,126.5,8189,126.5,4802,126.5,7150,126.5,4944,126.5,8600,126.5,9085,126.5,5896,126.5,3265,126.5,9411,126.5,10383,126.5
254,2158,127.0,1790,127.0,2741,127.0,888,127.0,4363,127.0,2147,127.0,5783,127.0,4954,127.0,4739,127.0,2181,127.0,5322,127.0,3824,127.0,3537,127.0,4317,127.0,8300,127.0,4847,127.0,7176,127.0,4936,127.0,8653,127.0,9131,127.0,5898,127.0,3271,127.0,9510,127.0,10455,127.0
255,2171,127.5,1799,127.5,2773,127.5,890,127.5,4429,127.5,2138,127.5,5861,127.5,4985,127.5,4760,127.5,2199,127.5,5386,127.5,3846,127.5,3564,127.5,4319,127.5,8412,127.5,4892,127.5,7202,127.5,4929,127.5,8706,127.5,9178,127.5,5900,127.5,3277,127.5,9609,127.5,10528,127.5
256,2183,128.0,1807,128.0,2805,128.0,892,128.0,4494,128.0,2129,128.0,5939,128.0,5017,128.0,4781,128.0,2216,128.0,5451,128.0,3869,128.0,3590,128.0,4321,128.0,8523,128.0,4937,128.0,7228,128.0,4921,128.0,8759,128.0,9224,128.0,5902,128.0,3283,128.0,9708,128.0,10600,128.0
257,2196,128.5,1816,128.5,2837,128.5,894,128.5,4559,128.5,2120,128.5,6017,128.5,5048,128.5,4802,128.5,2233,128.5,5515,128.5,3891,128.5,3616,128.5,4323,128.5,8634,128.5,4982,128.5,7254,128.5,4913,128.5,8812,128.5,9270,128.5,5904,128.5,3289,128.5,9807,128.5,10672,128.5
258,2209,129.0,1825,129.0,2869,129.0,896,129.0,4625,129.0,2111,129.0,6095,129.0,5080,129.0,4824,129.0,2251,129.0,5580,129.0,3914,129.0,3643,129.0,4326,129.0,8746,129.0,5027,129.0,7280,129.0,4906,129.0,8866,129.0,9317,129.0,5907,129.0,3295,129.0,9907,129.0,10745,129.0
259,2225,129.5,1819,129.5,2883,129.5,902,129.5,4637,129.5,2098,129.5,6154,129.5,5137,129.5,4838,129.5,2223,129.5,5612,129.5,3920,129.5,3653,129.5,4338,129.5,8911,129.5,5083,129.5,7328,129.5,4917,129.5,8960,129.5,9373,129.5,5954,129.5,3312,129.5,10027,129.5,10850,129.5
260,2241,130.0,1814,130.0,2897,130.0,909,130.0,4649,130.0,2085,130.0,6214,130.0,5194,130.0,4852,130.0,2196,130.0,5644,130.0,3927,130.0,3664,130.0,4351,130.0,9076,130.0,5139,130.0,7376,130.0,4928,130.0,9054,130.0,9430,130.0,6001,130.0,3330,130.0,10147,130.0,10955,130.0
261,2258,130.5,1809,130.5,2911,130.5,916,130.5,4662,130.5,2072,130.5,6274,130.5,5251,130.5,4867,130.5,2169,130.5,5676,130.5,3934,130.5,3675,130.5,4364,130.5,9241,130.5,5196,130.5,7424,130.5,4939,130.5,9148,130.5,9487,130.5,6048,130.5,3348,130.5,10267,130.5,11060,130.5
262,2274,131.0,1803,131.0,2925,131.0,923,131.0,4674,131.0,2059,131.0,6334,131.0,5308,131.0,4881,131.0,2142,131.0,5708,131.0,3940,131.0,3686,131.0,4377,131.0,9406,131.0,5252,131.0,7472,131.0,4950,131.0,9242,131.0,9543,131.0,6095,131.0,3366,131.0,10387,131.0,11165,131.0
263,2290,131.5,1798,131.5,2939,131.5,930,131.5,4686,131.5,2046,131.5,6394,131.5,5365,131.5,4895,131.5,2115,131.5,5740,131.5,3947,131.5,3697,131.5,4390,131.5,9571,131.5,5308,131.5,7520,131.5,4961,131.5,9336,131.5,9600,131.5,6142,131.5,3384,131.5,10507,131.5,11270,131.5
264,2307,132.0,1793,132.0,2954,132.0,937,132.0,4699,132.0,2034,132.0,6454,132.0,5423,132.0,4910,132.0,2088,132.0,5772,132.0,3954,132.0,3708,132.0,4403,132.0,9737,132.0,5365,132.0,7568,132.0,4972,132.0,9431,132.0,9657,132.0,6189,132.0,3402,132.0,10627,132.0,11375,132.0
265,2329,132.5,1786,132.5,2968,132.5,935,132.5,4737,132.5,2055,132.5,6515,132.5,5473,132.5,4931,132.5,2107,132.5,5802,132.5,3978,132.5,3752,132.5,4426,132.5,9809,132.5,5402,132.5,7576,132.5,4970,132.5,9519,132.5,9723,132.5,6203,132.5,3398,132.5,10748,132.5,11461,132.5
266,2351,133.0,1779,133.0,2983,133.0,933,133.0,4776,133.0,2076,133.0,6576,133.0,5523,133.0,4952,133.0,2127,133.0,5832,133.0,4003,133.0,3796,133.0,4450,133.0,9882,133.0,5439,133.0,7585,133.0,4969,133.0,9608,133.0,9790,133.0,6218,133.0,3394,133.0,10869,133.0,11547,133.0
267,2374,133.5,1772,133.5,2998,133.5,931,133.5,4815,133.5,2098,133.5,6638,133.5,5573,133.5,4974,133.5,2146,133.5,5862,133.5,4027,133.5,3841,133.5,4473,133.5,9955,133.5,5476,133.5,7594,133.5,4968,133.5,9697,133.5,9857,133.5,6233,133.5,3391,133.5,10990,133.5,11633,133.5
